Time [s],Channel 5
0.000000000,1
2.121704250,0
2.126124792,1
2.130535917,0
2.131121208,1
2.132692208,0
2.133277542,1
2.133768458,0
2.134326083,1
2.135924792,0
2.136482542,1
2.137001292,0
2.137564958,1
2.138079250,0
2.138664417,1
2.139157375,0
2.139717125,1
2.140235500,0
2.140791083,1
2.142389792,0
2.142972958,1
2.144546167,0
2.145129333,1
2.145622375,0
2.146182042,1
2.146700542,0
2.147260167,1
2.147778500,0
2.148363708,1
2.148855583,0
2.149467208,1
2.149932917,0
2.150494375,1
2.152088750,0
2.152646292,1
2.153166792,0
2.153749958,1
2.154243417,0
2.154802542,1
2.156399042,0
2.156958792,1
2.157477125,0
2.158062417,1
2.158555292,0
2.159110875,1
2.159631500,0
2.160188917,1
2.160709500,0
2.161296833,1
2.161787583,0
2.162370667,1
2.163941833,0
2.164526917,1
2.166097875,0
2.166657667,1
2.168252167,0
2.168809750,1
2.170408417,0
2.170966000,1
2.172562875,0
2.173152042,1
2.174718875,0
2.175304208,1
2.176873292,0
2.177430750,1
2.179029375,0
2.179586958,1
2.181185500,0
2.181768625,1
2.183340042,0
2.183924917,1
2.185495958,0
2.186081208,1
2.187650375,0
2.188207875,1
2.189806583,0
2.190393958,1
2.191961000,0
2.192520583,1
2.194117083,0
2.194702333,1
2.196272125,0
2.196858583,1
2.198427542,0
2.198985125,1
2.199505583,0
2.200063208,1
2.201661917,0
2.202245042,1
2.202738042,0
2.203297792,1
2.204894458,0
2.205479792,1
2.207048750,0
2.207606458,1
2.209205167,0
2.209762875,1
2.210281375,0
2.210841083,1
2.212437708,0
2.212993333,1
2.218193708,0
2.222641667,1
2.227023000,0
2.227608208,1
2.228101167,0
2.228660917,1
2.230255750,0
2.230868292,1
2.231333750,0
2.231891417,1
2.233489333,0
2.234047792,1
2.235644417,0
2.236229625,1
2.237800667,0
2.238356208,1
2.239954833,0
2.240512458,1
2.241032958,0
2.241590625,1
2.242109750,0
2.242694292,1
2.244265375,0
2.244850583,1
2.246419875,0
2.246977250,1
2.248575958,0
2.249159083,1
2.250730250,0
2.251315458,1
2.252886500,0
2.253471792,1
2.253963042,0
2.254550042,1
2.256119000,0
2.256676750,1
2.258273375,0
2.258833167,1
2.259351542,0
2.259907125,1
2.261505875,0
2.262089042,1
2.263660333,0
2.264220000,1
2.265816583,0
2.266372167,1
2.267970958,0
2.268554125,1
2.270125500,0
2.270710500,1
2.271203458,0
2.271763292,1
2.272281708,0
2.272841500,1
2.273358000,0
2.273915458,1
2.274436000,0
2.274993750,1
2.275514250,0
2.276097417,1
2.276592458,0
2.277150250,1
2.277668625,0
2.278228417,1
2.278746875,0
2.279332125,1
2.279823333,0
2.280380583,1
2.280901083,0
2.281484208,1
2.281979250,0
2.282536917,1
2.283056500,0
2.283615083,1
2.284133542,0
2.284693250,1
2.285211750,0
2.285796917,1
2.286289792,0
2.286845375,1
2.287367958,0
2.287923542,1
2.288444167,0
2.289027208,1
2.290600417,0
2.291183625,1
2.291678542,0
2.292236250,1
2.293832750,0
2.294392542,1
2.294910875,0
2.295466458,1
2.295987125,0
2.296544583,1
2.297065125,0
2.297622750,1
2.299221208,0
2.299778917,1
2.300297333,0
2.300882500,1
3.157333333,1
