Time [s],Channel 5
0.000000000,1
2.254645292,0
2.259095667,1
2.263479250,0
2.264062417,1
2.265634542,0
2.266193417,1
2.266711958,0
2.267271708,1
2.268868292,0
2.269423792,1
2.269946375,0
2.270531625,1
2.271024583,0
2.271609875,1
2.272102792,0
2.272658375,1
2.273181000,0
2.273762125,1
2.275335375,0
2.275918458,1
2.277491625,0
2.278049292,1
2.278569792,0
2.279152917,1
2.279646208,0
2.280205708,1
2.280726167,0
2.281309292,1
2.282880542,0
2.283465792,1
2.283958792,0
2.284544042,1
2.285037000,0
2.285622292,1
2.286115208,0
2.286670833,1
2.287193417,0
2.287778792,1
2.289347875,0
2.289931000,1
2.290426083,0
2.290983792,1
2.291504292,0
2.292087458,1
2.292582500,0
2.293165667,1
2.293659167,0
2.294218333,1
2.295815083,0
2.296400292,1
2.296893250,0
2.297452958,1
2.299049625,0
2.299634958,1
2.301205042,0
2.301761625,1
2.303360417,0
2.303947792,1
2.305516750,0
2.306099958,1
2.307671250,0
2.308281917,1
2.309827583,0
2.310387375,1
2.311984042,0
2.312569375,1
2.314138583,0
2.314721750,1
2.316293625,0
2.316878250,1
2.318449500,0
2.319034708,1
2.320605875,0
2.321191167,1
2.322760208,0
2.323343333,1
2.324916625,0
2.325499792,1
2.327071167,0
2.327656333,1
2.329227583,0
2.329787458,1
2.331384000,0
2.331939625,1
2.332460500,0
2.333017917,1
2.334616625,0
2.335199750,1
2.335694833,0
2.336277958,1
2.337849458,0
2.338408958,1
2.338927500,0
2.339512667,1
2.341083833,0
2.341639417,1
2.342162042,0
2.342717625,1
2.343238542,0
2.343825583,1
2.348995042,0
2.353444417,1
2.357829750,0
2.358385250,1
2.358907875,0
2.359463417,1
2.361062167,0
2.361619792,1
2.362140292,0
2.362723417,1
2.364296542,0
2.364879708,1
2.366452875,0
2.367010583,1
2.368607333,0
2.369167000,1
2.370763667,0
2.371348917,1
2.371841792,0
2.372427083,1
2.372919958,0
2.373505208,1
2.375074708,0
2.375631958,1
2.377231250,0
2.377788333,1
2.379387542,0
2.379944625,1
2.380465292,0
2.381052375,1
2.382621375,0
2.383204417,1
2.384777667,0
2.385335333,1
2.386934000,0
2.387491708,1
2.389088458,0
2.389648125,1
2.390166625,0
2.390726375,1
2.392323000,0
2.392878625,1
2.394477417,0
2.395060417,1
2.396633708,0
2.397216875,1
2.398788792,0
2.399373417,1
2.399867958,0
2.400451667,1
2.402022917,0
2.402582667,1
2.403101042,0
2.403660792,1
2.404179208,0
2.404764458,1
2.405257417,0
2.405817250,1
2.406335708,0
2.406891292,1
2.407413917,0
2.407973833,1
2.408491583,0
2.409047917,1
2.409568833,0
2.410126167,1
2.410646833,0
2.411229875,1
2.411724917,0
2.412282583,1
2.412803125,0
2.413386250,1
2.413881292,0
2.414464500,1
2.414959500,0
2.415517208,1
2.416037708,0
2.416620917,1
2.417114875,0
2.417750083,1
2.418192208,0
2.418777333,1
2.419270333,0
2.419830083,1
2.421426542,0
2.422011708,1
2.422504667,0
2.423089833,1
2.424660875,0
2.425246167,1
2.425739000,0
2.426324333,1
2.427893875,0
2.428480708,1
2.428971958,0
2.429529083,1
2.431127750,0
2.431685333,1
2.433283958,0
2.433841625,1
3.178666667,1
