Time [s],Channel 5
0.000000000,1
1.499336958,0
1.503786833,1
1.508169875,0
1.508752833,1
1.510325917,0
1.510883500,1
1.511404000,0
1.511961542,1
1.513560000,0
1.514117667,1
1.514638167,0
1.515225542,1
1.515714417,0
1.516273875,1
1.516792542,0
1.517351958,1
1.517870333,0
1.518430125,1
1.520026625,0
1.520582167,1
1.522182917,0
1.522768208,1
1.523259042,0
1.523816625,1
1.524337083,0
1.524920167,1
1.525415167,0
1.525972875,1
1.526492083,0
1.527051000,1
1.527569708,0
1.528129125,1
1.528647583,0
1.529207333,1
1.530803833,0
1.531363625,1
1.531882000,0
1.532437542,1
1.534038250,0
1.534593833,1
1.535114375,0
1.535697458,1
1.536192458,0
1.536775542,1
1.537270583,0
1.537828208,1
1.538348625,0
1.538906292,1
1.539426167,0
1.539984458,1
1.541580958,0
1.542140708,1
1.543737333,0
1.544322542,1
1.545891917,0
1.546449167,1
1.548047875,0
1.548635292,1
1.550204125,0
1.550761792,1
1.552358333,0
1.552943500,1
1.554513292,0
1.555099792,1
1.556668833,0
1.557226417,1
1.558825083,0
1.559382708,1
1.560981250,0
1.561564333,1
1.563135708,0
1.563695250,1
1.565291833,0
1.565851542,1
1.567448125,0
1.568007917,1
1.569602542,0
1.570185375,1
1.571758667,0
1.572341875,1
1.573913042,0
1.574498250,1
1.576069458,0
1.576629292,1
1.577147667,0
1.577707417,1
1.579302042,0
1.579859458,1
1.580380542,0
1.580937625,1
1.582536375,0
1.583119500,1
1.584692750,0
1.585275917,1
1.586849125,0
1.587406833,1
1.589003458,0
1.589588708,1
1.590081583,0
1.590666833,1
1.595837875,0
1.600285792,1
1.604671750,0
1.605231667,1
1.605748625,0
1.606305583,1
1.607904375,0
1.608487542,1
1.608982583,0
1.609540292,1
1.611137000,0
1.611696792,1
1.613293333,0
1.613878542,1
1.615447625,0
1.616030792,1
1.617602292,0
1.618187167,1
1.618680208,0
1.619265417,1
1.619758292,0
1.620343542,1
1.621912500,0
1.622499833,1
1.624068750,0
1.624651917,1
1.626222958,0
1.626778500,1
1.628377167,0
1.628934833,1
1.630531458,0
1.631116458,1
1.632687458,0
1.633272792,1
1.633763708,0
1.634346625,1
1.635919667,0
1.636502792,1
1.636997792,0
1.637580875,1
1.639153958,0
1.639737208,1
1.641308375,0
1.641868042,1
1.643464625,0
1.644049833,1
1.645621000,0
1.646206292,1
1.647775542,0
1.648337167,1
1.648853417,0
1.649411000,1
1.649931417,0
1.650514583,1
1.651009583,0
1.651567292,1
1.652086208,0
1.652645500,1
1.653164583,0
1.653749167,1
1.654242208,0
1.654852833,1
1.655320292,0
1.655905542,1
1.656398375,0
1.656954000,1
1.657474750,0
1.658032125,1
1.658552667,0
1.659110250,1
1.659630792,0
1.660213917,1
1.660708958,0
1.661317583,1
1.661787167,0
1.662344833,1
1.662863333,0
1.663422875,1
1.663941292,0
1.664526542,1
1.665019417,0
1.665604750,1
1.666096625,0
1.666653125,1
1.668251875,0
1.668834917,1
1.669330000,0
1.669913125,1
1.671486167,0
1.672044083,1
1.672562667,0
1.673147792,1
1.673640833,0
1.674200500,1
1.674718917,0
1.675278750,1
1.675796375,0
1.676356958,1
1.677951458,0
1.678509000,1
2.261333333,1
