Time [s],Channel 5
0.000000000,1
0.734045083,0
0.738465667,1
0.742878750,0
0.743436500,1
0.745033208,0
0.745592917,1
0.746111292,0
0.746696542,1
0.748266542,0
0.748823250,1
0.749343958,0
0.749901375,1
0.750422750,0
0.750979583,1
0.751500167,0
0.752083292,1
0.752578333,0
0.753161458,1
0.754734792,0
0.755292458,1
0.755811208,0
0.756370750,1
0.756889500,0
0.757474458,1
0.757967500,0
0.758552708,1
0.759045667,0
0.759631000,1
0.760123917,0
0.760679500,1
0.761202167,0
0.761757750,1
0.763357208,0
0.763914125,1
0.764434708,0
0.765017833,1
0.765512917,0
0.766096042,1
0.767668042,0
0.768226958,1
0.768745667,0
0.769305167,1
0.769823708,0
0.770408875,1
0.770901833,0
0.771461542,1
0.771979958,0
0.772535500,1
0.774134583,0
0.774691833,1
0.775212875,0
0.775769958,1
0.777368667,0
0.777926292,1
0.779525000,0
0.780108250,1
0.781679500,0
0.782239125,1
0.783835833,0
0.784391417,1
0.785992417,0
0.786547958,1
0.788146750,0
0.788729833,1
0.790303042,0
0.790886167,1
0.792457958,0
0.793042542,1
0.794613708,0
0.795173500,1
0.796770000,0
0.797355333,1
0.798925208,0
0.799482125,1
0.801080875,0
0.801638542,1
0.803237292,0
0.803799250,1
0.805393667,0
0.805976875,1
0.807548042,0
0.808107750,1
0.809704375,0
0.810259917,1
0.811859083,0
0.812446083,1
0.814015125,0
0.814602458,1
0.815093292,0
0.815676417,1
0.817248167,0
0.817807250,1
0.819404083,0
0.819989167,1
0.821560333,0
0.822145625,1
0.823716708,0
0.824301958,1
0.825873000,0
0.826458333,1
0.831629750,0
0.836051708,1
0.840464750,0
0.841022458,1
0.841541208,0
0.842100500,1
0.843697500,0
0.844282417,1
0.844775458,0
0.845335208,1
0.846931792,0
0.847491625,1
0.849088208,0
0.849673458,1
0.851243542,0
0.851829917,1
0.853399000,0
0.853986292,1
0.854477125,0
0.855060292,1
0.856633458,0
0.857216583,1
0.858788583,0
0.859347333,1
0.860944000,0
0.861529167,1
0.863100333,0
0.863689875,1
0.865256667,0
0.865841917,1
0.867411542,0
0.867994000,1
0.868489542,0
0.869076417,1
0.870645500,0
0.871203125,1
0.872801750,0
0.873384917,1
0.873880000,0
0.874437708,1
0.876034625,0
0.876594292,1
0.878190875,0
0.878776083,1
0.880346125,0
0.880932542,1
0.882501583,0
0.883088792,1
0.883579583,0
0.884137167,1
0.885735833,0
0.886293458,1
0.886813958,0
0.887371583,1
0.887892042,0
0.888475208,1
0.888970250,0
0.889578875,1
0.890046583,0
0.890631583,1
0.891124583,0
0.891709792,1
0.892202750,0
0.892788000,1
0.893280917,0
0.893840667,1
0.894359042,0
0.894944333,1
0.895435250,0
0.896022500,1
0.896513333,0
0.897096375,1
0.897591417,0
0.898153292,1
0.898669542,0
0.899252708,1
0.899747750,0
0.900330875,1
0.900825958,0
0.901383625,1
0.901902833,0
0.902461833,1
0.902980333,0
0.903565542,1
0.904058458,0
0.904643708,1
0.905136625,0
0.905721917,1
0.907291792,0
0.907878417,1
0.908369333,0
0.908982042,1
0.909447417,0
0.910030500,1
0.910525542,0
0.911112917,1
0.911603708,0
0.912186875,1
0.912681875,0
0.913265042,1
2.176000000,1
