Time [s],Channel 5
0.000000000,1
1.449851667,0
1.454274042,1
1.458684167,0
1.459240583,1
1.460839375,0
1.461426667,1
1.461917542,0
1.462500708,1
1.464072750,0
1.464657167,1
1.465150375,0
1.465714208,1
1.466228417,0
1.466813625,1
1.467306625,0
1.467891833,1
1.468384750,0
1.468970042,1
1.470539417,0
1.471122167,1
1.472695417,0
1.473253042,1
1.473773542,0
1.474331250,1
1.474851833,0
1.475409542,1
1.475928458,0
1.476487792,1
1.477006250,0
1.477591417,1
1.478084375,0
1.478673833,1
1.480240708,0
1.480796250,1
1.481318792,0
1.481874375,1
1.482395083,0
1.482952625,1
1.484551375,0
1.485109125,1
1.485628667,0
1.486187208,1
1.486706083,0
1.487265375,1
1.487783917,0
1.488343542,1
1.488862000,0
1.489447250,1
1.491018333,0
1.491573875,1
1.492096250,0
1.492681792,1
1.494250833,0
1.494833792,1
1.496406875,0
1.496990042,1
1.498563042,0
1.499120750,1
1.500717333,0
1.501277000,1
1.502873542,0
1.503458792,1
1.505027875,0
1.505585500,1
1.507184083,0
1.507741750,1
1.509338667,0
1.509923625,1
1.511495250,0
1.512080000,1
1.513651083,0
1.514236333,1
1.515807333,0
1.516392583,1
1.517961875,0
1.518553333,1
1.520118125,0
1.520701250,1
1.522272792,0
1.522857792,1
1.524428958,0
1.525014250,1
1.526585417,0
1.527141000,1
1.527663583,0
1.528219167,1
1.529817958,0
1.530401125,1
1.530896208,0
1.531483542,1
1.533052500,0
1.533610167,1
1.535206917,0
1.535792042,1
1.537363125,0
1.537948333,1
1.539519458,0
1.540104792,1
1.541674500,0
1.542261125,1
1.547431542,0
1.551879250,1
1.556264458,0
1.556849667,1
1.557340917,0
1.557927833,1
1.559496958,0
1.560084250,1
1.560575083,0
1.561132792,1
1.562731458,0
1.563314583,1
1.564885833,0
1.565471000,1
1.567042083,0
1.567627292,1
1.569196958,0
1.569783667,1
1.570274542,0
1.570861833,1
1.571352708,0
1.571914542,1
1.573508917,0
1.574092000,1
1.575663958,0
1.576222792,1
1.577819500,0
1.578404458,1
1.579975500,0
1.580531083,1
1.582129833,0
1.582721333,1
1.583207958,0
1.583765625,1
1.585364375,0
1.585922042,1
1.587518917,0
1.588103917,1
1.588596917,0
1.589182208,1
1.590753208,0
1.591338458,1
1.592907458,0
1.593465042,1
1.595063708,0
1.595646792,1
1.597220000,0
1.597807375,1
1.598298167,0
1.598881292,1
1.600452625,0
1.601037750,1
1.601530667,0
1.602115917,1
1.602608875,0
1.603164375,1
1.603687000,0
1.604272292,1
1.604765208,0
1.605350458,1
1.605841500,0
1.606428542,1
1.606919792,0
1.607532167,1
1.607997458,0
1.608584833,1
1.609075625,0
1.609633292,1
1.610152292,0
1.610736917,1
1.611230708,0
1.611819333,1
1.612308083,0
1.612867750,1
1.613386208,0
1.613971458,1
1.614464333,0
1.615049625,1
1.615542542,0
1.616127792,1
1.616620667,0
1.617205875,1
1.617697417,0
1.618284125,1
1.619853000,0
1.620436125,1
1.620929833,0
1.621514333,1
1.623085333,0
1.623700250,1
1.624163458,0
1.624748708,1
1.625239792,0
1.625797250,1
1.626317708,0
1.626900792,1
1.627395792,0
1.627978875,1
1.628472125,0
1.629057083,1
2.922666667,1
